name,location,plz,city,rating_average,rating_count,operator
Mensa Wilhelmshaven ,Friedrich-Paffrath-Straße 101,26389,Wilhelmshaven,"3,4",6.062,Studierendenwerk Oldenburg
Mensa Bertramstraße ,Bertramstraße 27,65185,Wiesbaden,"3,3",505,Studierendenwerk Frankfurt am Main
mensa accent ,Kurt-Schumacher-Ring 18,65197,Wiesbaden,"3,5",710,Studierendenwerk Frankfurt am Main
Philipps Bistro ,Erlenring 5,35037,Marburg,"3,7",1.241,Studentenwerk Marburg
Zentralmensa ,Arnold-Bode-Straße 4,34127,Kassel,"3,7",8.929,Studierendenwerk Kassel
Pausen-CamBus ,Otto-Behaghel-Straße 27,35394,Gießen,"3,4",51,Studentenwerk Gießen
Mensa Otto-Behaghel-Straße ,Otto-Behaghel-Straße 27,35394,Gießen,"3,8",5.070,Studentenwerk Gießen
Mensa Mildred-Harnack-Fish-Haus ,Leihgesterner Weg 16,35392,Gießen,"3,7",1.606,Studentenwerk Gießen
Mensa im Park ,Offenbacher Landstraße 224,60599,Frankfurt am Main,,,Phil.-Theol. Hochschule Sankt Georgen
Mensa HfMDK ,Eschersheimer Landstraße 35,60322,Frankfurt am Main,"3,1",160,Studierendenwerk Frankfurt am Main
Mensa Stadtmitte ,Alexanderstraße 14,64283,Darmstadt,"3,4",1.784,Studierendenwerk Darmstadt
Mensa Lichtwiese ,Alarich-Weiss-Straße 3,64287,Darmstadt,"3,2",1.285,Studierendenwerk Darmstadt
Mensa Ulme 45 ,Ulmenstraße 45,18057,Rostock,"3,7",3.213,Studierendenwerk Rostock-Wismar
Mensa Süd ,Albert-Einstein-Straße 6a,18059,Rostock,"3,7",8.788,Studierendenwerk Rostock-Wismar
Mensa Campus Loefflerstraße ,Ernst-Lohmeyer-Platz 5,17489,Greifswald,"3,7",2.417,Studierendenwerk Greifswald
Mensa Campus Beitz-Platz ,Fleischmannstraße 40,17489,Greifswald,"3,5",8.907,Studierendenwerk Greifswald
Mensa St.-Georg-Straße ,St.-Georg-Straße 104-107,18055,Rostock,"3,1",1.523,Studierendenwerk Rostock-Wismar
Mensa Multiple Choice ,Schillingallee 70,18057,Rostock,"3,6",765,Studierendenwerk Rostock-Wismar
Mensa Kantilene ,Beim St.-Katharinenstift 8,18055,Rostock,"3,6",305,Studierendenwerk Rostock-Wismar
Mensa Vechta ,Universitätsstraße 1,49377,Vechta,"3,8",7.751,Studentenwerk Osnabrück
Bistro Vechta ,Universitätsstraße 1,49377,Vechta,,,Studentenwerk Osnabrück
Mensa Schöfferstraße ,Schöfferstraße 3,64295,Darmstadt,"3,3",2.468,Studierendenwerk Darmstadt
Bistro Haardtring ,Haardtring 100,64295,Darmstadt,"3,2",425,Studierendenwerk Darmstadt
Sommergarten ,Theodor-W.-Adorno-Platz 2a,60323,Frankfurt am Main,,,Studierendenwerk Frankfurt am Main
Mensa Pi x Gaumen ,Max-von-Laue-Straße 9,60439,Frankfurt am Main,"3,4",1.635,Studierendenwerk Frankfurt am Main
Mensa Casino ,Theodor-W.-Adorno-Platz 1,60323,Frankfurt am Main,"3,3",2.518,Studierendenwerk Frankfurt am Main
Mensa Anbau Casino ,Theodor-W.-Adorno-Platz 1,60323,Frankfurt am Main,"3,2",2.328,Studierendenwerk Frankfurt am Main
Cocktailbar Anbau Casino ,Theodor-W.-Adorno-Platz 2,60323,Frankfurt am Main,"3,7",40,Studierendenwerk Frankfurt am Main
Casino Cafeteria ,Theodor-W.-Adorno-Platz 2a,60323,Frankfurt am Main,"4,0",30,Studierendenwerk Frankfurt am Main
Cafeteria Level ,Ruth-Moufang-Straße 2,60438,Frankfurt am Main,"3,3",448,Studierendenwerk Frankfurt am Main
Cafeteria Hoagascht ,Rostocker Straße 2,60323,Frankfurt am Main,"4,0",88,Studierendenwerk Frankfurt am Main
Cafeteria Dasein ,Theodor-W.-Adorno-Platz 1,60323,Frankfurt am Main,"3,6",1.841,Studierendenwerk Frankfurt am Main
Cafeteria Darwins ,Max-von-Laue-Straße 13,60438,Frankfurt am Main,"3,5",632,Studierendenwerk Frankfurt am Main
Cafeteria Bockenheim ,Bockenheimer Landstraße 133,60325,Frankfurt am Main,"3,3",465,Studierendenwerk Frankfurt am Main
Café Hochform ,Ginnheimer Landstraße 39,60487,Frankfurt am Main,"2,8",25,Studierendenwerk Frankfurt am Main
Mensa essWERK ,Nibelungenplatz 1,60318,Frankfurt am Main,"3,4",3.024,Studierendenwerk Frankfurt am Main
CaRe Cafeteria Rechenzentrum ,Heinrich-Buff-Ring 44,35392,Gießen,"3,4",376,Studentenwerk Gießen
Cafeteria JuWi ,Licher Straße 68,35394,Gießen,"3,6",187,Studentenwerk Gießen
Cafe am Kunstweg ,Karl-Glöckner-Straße 21,35394,Gießen,"3,4",158,Studentenwerk Gießen
Mensa THM Gießen ,Wiesenstraße 14,35390,Gießen,"3,6",1.726,Studentenwerk Gießen
Cafeteria D13 ,Ringallee 35,35390,Gießen,,,Studentenwerk Gießen
Cafeteria Campus Tor ,Platz der Deutschen Einheit 1,35390,Gießen,"3,3",323,Studentenwerk Gießen
Mensa Wilhelmshöher Allee ,Wilhelmshöher Allee 71,34121,Kassel,"3,5",1.086,Studierendenwerk Kassel
Mensa Kunsthochschule ,Menzelstraße 13,34121,Kassel,"3,6",212,Studierendenwerk Kassel
Mensa Heinrich-Plett-Straße ,Heinrich-Plett-Straße 40,34132,Kassel,"3,5",1.567,Studierendenwerk Kassel
Mo's Diner ,Conradistraße,35039,Marburg,"3,7",67,Studentenwerk Marburg
Mensa Lahnberge ,Conradistraße,35039,Marburg,"3,7",4.574,Studentenwerk Marburg
Mensa Erlenring ,Erlenring 5,35037,Marburg,"3,5",8.209,Studentenwerk Marburg
Cafeteria Lahnberge ,Conradistraße,35039,Marburg,"3,2",83,Studentenwerk Marburg
Mensa Suderburg ,Herbert-Meyer-Straße 7,29556,Suderburg,"3,1",1.594,Studierendenwerk OstNiedersachsen
Mensa Salzgitter ,Karl-Scharfenberg-Straße 55,38229,Salzgitter,"3,3",33,unknown
Mensa Lingen ,Kaiserstraße 10e,49809,Lingen,"3,3",1.085,Studentenwerk Osnabrück
Mensa Holzminden ,Haarmannplatz 3,37603,Holzminden,"3,5",513,Studierendenwerk OstNiedersachsen
Mensa Garbsen ,An der Universität 1,30823,Garbsen,"3,5",1.008,Studentenwerk Hannover
Mensa Emden ,Paapsand 34,26723,Emden,"3,3",5.088,Studierendenwerk Oldenburg
Mensa Elsfleth ,An der Weinkaje 5,26931,Elsfleth,"3,7",773,Studierendenwerk Oldenburg
Mensa Clausthal ,Leibnizstraße 3,38678,Clausthal-Zellerfeld,"3,3",4.461,Studierendenwerk OstNiedersachsen
Mensa Steinfurt ,Stegerwaldstraße 39,48565,Steinfurt,"3,5",9.275,Studierendenwerk Münster
Mensaforum Soest ,Lübecker Ring 2,59494,Soest,"3,7",757,Studierendenwerk Dortmund
Mensa Sankt Augustin ,Grantham-Allee 20,53757,Sankt Augustin,"3,5",3.761,Studierendenwerk Bonn
Mensa Schlossgarten ,Ritterstraße 10,49074,Osnabrück,"3,7",26.592,Studentenwerk Osnabrück
Mensa Wechloy ,Carl-von-Ossietzky-Straße 9-11,26129,Oldenburg,"3,6",5.988,Studierendenwerk Oldenburg
Mensa Campus abends ,Scharnhorststraße 1,21335,Lüneburg,"3,8",237,Studierendenwerk OstNiedersachsen
Mensa Campus ,Scharnhorststraße 1,21335,Lüneburg,"3,6",19.946,Studierendenwerk OstNiedersachsen
Mensa Uhlhornsweg ,Uhlhornsweg 49-55,26129,Oldenburg,"3,7",6.718,Studierendenwerk Oldenburg
Mensa Uni ,Marienburger Platz 22,31141,Hildesheim,"3,5",8.074,Studierendenwerk OstNiedersachsen
Mensa Herrenhausen ,Herrenhäuser Straße 8,30419,Hannover,"3,6",326,Studentenwerk Hannover
Zentralmensa ,Platz der Göttinger Sieben 4,37073,Göttingen,"3,5",12.511,Studentenwerk Göttingen
Mensa Italia ,Roedererstraße 15a,37073,Göttingen,"3,4",182,Studentenwerk Göttingen
Mensa am Turm ,Goßlerstraße 12b,37073,Göttingen,"3,6",2.859,Studentenwerk Göttingen
Lunchbox ,Justus-von-Liebig-Weg,37077,Göttingen,"3,3",379,Studentenwerk Göttingen
CampusGastronomie im Norden ,Grisebachstraße 10,37077,Göttingen,"3,3",2.324,Studentenwerk Göttingen
Mensa Katharinenstraße abends ,Katharinenstraße 1,38106,Braunschweig,"3,8",311,Studierendenwerk OstNiedersachsen
Mensa Katharinenstraße ,Katharinenstraße 1,38106,Braunschweig,"3,6",14.655,Studierendenwerk OstNiedersachsen
Mensa Beethovenstraße ,Beethovenstraße 15,38106,Braunschweig,"3,8",5.348,Studierendenwerk OstNiedersachsen
Mensa Unteres Schloss ,Obergraben,57072,Siegen,"4,0",3.494,Studierendenwerk Siegen
Mensa Emmy-Noether-Campus ,Walter-Flex-Straße 3,57072,Siegen,"3,9",1.356,Studierendenwerk Siegen
Mensa Adolf-Reichwein-Straße ,Adolf-Reichwein-Straße 2,57076,Siegen,"3,8",13.154,Studierendenwerk Siegen
Cafeteria Unteres Schloss ,Obergraben 18,57072,Siegen,"4,0",537,Studierendenwerk Siegen
Cafeteria Paul-Bonatz-Straße ,Paul-Bonatz-Straße 9-11,57076,Siegen,"3,4",793,Studierendenwerk Siegen
Cafeteria ct ,Adolf-Reichwein-Straße 2,57076,Siegen,"3,3",43,Studierendenwerk Siegen
Bistro ,Adolf-Reichwein-Straße 2,57076,Siegen,"3,7",198,Studierendenwerk Siegen
Bistro4u NFF ,Hermann-Blenk-Straße 42,38108,Braunschweig,"3,8",418,Studierendenwerk OstNiedersachsen
360 Grad ,Katharinenstraße 1,38106,Braunschweig,"3,6",1.770,Studierendenwerk OstNiedersachsen
Kantina Kreativa ,Johannes-Selenka-Platz 1,38118,Braunschweig,"3,2",292,Studierendenwerk OstNiedersachsen
Bistro HAWK ,Von-Ossietzky-Straße 99,37085,Göttingen,"3,3",336,Studentenwerk Göttingen
Hauptmensa ,Callinstraße 23,30167,Hannover,"3,7",15.587,Studentenwerk Hannover
Contine ,Königsworther Platz 1,30167,Hannover,"3,6",14.742,Studentenwerk Hannover
Mensa TiHo-Tower ,Bünteweg 2,30559,Hannover,"3,6",965,Studentenwerk Hannover
Mensa Caballus ,Bischofsholer Damm 15,30173,Hannover,"3,7",1.409,Studentenwerk Hannover
Mensa Große Pause ,Expo Plaza 10,30539,Hannover,"3,4",1.434,Studentenwerk Hannover
Mensa Campus Linden ,Ricklinger Stadtweg 120,30459,Hannover,"3,6",4.946,Studentenwerk Hannover
Mensa Blumhardtstraße ,Blumhardtstraße 2,30625,Hannover,"3,9",742,Studentenwerk Hannover
Mensa HMTMH ,Emmichplatz 1,30175,Hannover,"3,2",188,Studentenwerk Hannover
Bistro-Shop Lübecker Straße ,Lübecker Straße 3,31141,Hildesheim,"3,4",350,Studierendenwerk OstNiedersachsen
Mensa Hohnsen ,Hohnsen 1,31134,Hildesheim,"3,6",2.487,Studierendenwerk OstNiedersachsen
Mensa Ofener Straße ,Ofener Straße 16a,26121,Oldenburg,"3,3",4.833,Studierendenwerk Oldenburg
Mensa Westerberg ,Barbarastraße 20,49076,Osnabrück,"3,7",17.397,Studentenwerk Osnabrück
Mensa Haste ,Oldenburger Landstraße 24,49090,Osnabrück,"3,7",533,Studentenwerk Osnabrück
Café Lounge Westerberg ,Barbarastraße 20,49076,Osnabrück,"3,2",300,Studentenwerk Osnabrück
Bistro Caprivi ,Caprivistraße 30a,49076,Osnabrück,"3,4",266,Studentenwerk Osnabrück
Foodtruck Rheinbach ,Wechselnde Standorte,53359,Rheinbach,"3,4",1.897,Studierendenwerk Bonn
Mensa Recklinghausen ,August-Schmidt-Ring 10,45657,Recklinghausen,"2,5",188,AKAFÖ Akademisches Förderungswerk
Mensa HRW Mülheim ,Duisburger Straße 100,45479,Mülheim,"3,6",7.685,Studierendenwerk Essen-Duisburg
Mensa Rheydter Straße ,Rheydter Straße 325,41065,Mönchengladbach,"3,5",118,Studierendenwerk Düsseldorf
Mensa Minden ,Artilleriestraße 9,32427,Minden,"3,5",528,Studierendenwerk Bielefeld
da Vinci Meschede ,Lindenstraße 53,59872,Meschede,"3,9",788,Studierendenwerk Dortmund
Mensa Atrium Lippstadt ,Dr.-Arnold-Hueck-Straße 3,59557,Lippstadt,"3,7",1.336,Studierendenwerk Paderborn
Mensa Leverkusen ,Campusplatz 1,51379,Leverkusen,,,Kölner Studierendenwerk
Mensa Lemgo ,Liebigstraße 87,32657,Lemgo,"3,1",1.790,Studierendenwerk Bielefeld
Mensa Kleve ,Sommerdeich 16,47533,Kleve,"3,3",905,Studierendenwerk Düsseldorf
Mensa Kamp-Lintfort ,Friedrich-Heinrich-Allee 25,47475,Kamp-Lintfort,"3,0",483,Studierendenwerk Düsseldorf
Mensa Jülich ,Heinrich-Mußmann-Straße 1,52428,Jülich,"3,5",4.226,Studierendenwerk Aachen
Canapé Iserlohn ,Frauenstuhlweg 31,58644,Iserlohn,"3,7",249,Studierendenwerk Dortmund
Mensa Höxter ,An der Wilhelmshöhe 44,37671,Höxter,"3,2",173,Studierendenwerk Bielefeld
Mensa Basilica Hamm ,Peter-Röttgen-Platz 10,59063,Hamm,"3,4",1.130,Studierendenwerk Paderborn
Mensa ZM2 ,Zukunftsmeile 2,33102,Paderborn,"3,6",173,Studierendenwerk Paderborn
Mensa Bispinghof ,Bispinghof 9-14,48155,Münster,"3,7",4.418,Studierendenwerk Münster
Mensa am Ring ,Domagkstraße 61,48149,Münster,"3,6",28.340,Studierendenwerk Münster
Mensa am Aasee ,Bismarckallee 11,48151,Münster,"3,6",11.506,Studierendenwerk Münster
Hier und Jetzt ,Bismarckallee 11,48151,Münster,"4,0",577,Studierendenwerk Münster
Bistro Oeconomicum ,Universitätsstraße 14,48143,Münster,"3,4",1.044,Studierendenwerk Münster
Bistro KaBu ,Domplatz 21,48143,Münster,"3,4",627,Studierendenwerk Münster
Bistro Durchblick ,Fliednerstraße 21,48149,Münster,"3,4",154,Studierendenwerk Münster
Bistro Katholische Hochschule ,Piusallee 89,48147,Münster,"3,2",430,Studierendenwerk Münster
Mensa Obergath ,Obergath 73,47805,Krefeld,"2,9",113,Studierendenwerk Düsseldorf
UniMensa ,Zülpicher Straße 70,50937,Köln,"3,4",5.960,Kölner Studierendenwerk
Mensa Lindenthal ,Robert-Koch-Straße 10,50931,Köln,"3,6",1.803,Kölner Studierendenwerk
Bistro Uni E-Raum ,Albertus-Magnus-Platz,50931,Köln,"3,3",135,Kölner Studierendenwerk
Mensa Südstadt ,Mainzer Straße 5,50678,Köln,"3,3",996,Kölner Studierendenwerk
Mensa IWZ Deutz ,Betzdorfer Straße 2,50679,Köln,"3,4",3.017,Kölner Studierendenwerk
Mensa Claudiusstraße ,Claudiusstraße 1,50678,Köln,"3,5",414,Kölner Studierendenwerk
Mensa Kunsthochschule Medien ,Filzengraben 2-4,50676,Köln,"3,1",43,Kölner Studierendenwerk
Mensa Musikhochschule ,Dagobertstraße 38,50668,Köln,"3,6",343,Kölner Studierendenwerk
Mensa Sporthochschule ,Am Sportpark Müngersdorf 2,50933,Köln,"3,5",1.858,Kölner Studierendenwerk
Mensa Frankenring ,Frankenring 20,47798,Krefeld,"3,2",174,Studierendenwerk Düsseldorf
Mensa Da Vinci ,Leonardo-Campus 8,48149,Münster,"3,7",4.628,Studierendenwerk Münster
Bistro Denkpause ,Corrensstraße 25,48149,Münster,"3,2",2.374,Studierendenwerk Münster
Mensa UPB ,Warburger Straße 100,33098,Paderborn,"3,5",2.080,Studierendenwerk Paderborn
Mensa Forum ,Warburger Straße 100,33098,Paderborn,"3,6",918,Studierendenwerk Paderborn
Snackit Hagen ,Haldener Straße 182,58095,Hagen,"3,6",310,Studierendenwerk Dortmund
Mensa Gummersbach ,Steinmüllerallee 1,51643,Gummersbach,"3,6",302,Kölner Studierendenwerk
Mensa Gelsenkirchen ,Neidenburger Straße 43,45897,Gelsenkirchen,"3,6",715,AKAFÖ Akademisches Förderungswerk
Mensa HRW Bottrop ,Lützowstraße 5,46236,Bottrop,"3,6",3.718,Studierendenwerk Essen-Duisburg
Mensa Bocholt ,Münsterstraße 265,46397,Bocholt,"3,1",170,AKAFÖ Akademisches Förderungswerk
Mensa Worms ,Erenburger Straße 19,67549,Worms,"3,2",548,Studierendenwerk Vorderpfalz
Mensa RheinAhrCampus ,Südallee 2,53424,Remagen,"3,3",1.146,Studierendenwerk Koblenz
Mensa Pirmasens ,Marie-Curie-Straße 18,66953,Pirmasens,,,Studierendenwerk Kaiserslautern
Mensa Weincampus ,Breitenweg 71,67435,Neustadt an der Weinstraße,,,Studierendenwerk Vorderpfalz
Hauptmensa Essen ,Segerothstraße 10,45127,Essen,"3,3",630,Studierendenwerk Essen-Duisburg
Mensa Universitätsstraße ,Universitätsstraße 1,40225,Düsseldorf,"3,3",2.909,Studierendenwerk Düsseldorf
u-café ,Lotharstraße 65,47057,Duisburg,"3,4",40,Studierendenwerk Essen-Duisburg
Mensa Süd ,August-Schmidt-Straße 2,44227,Dortmund,"3,3",130,Studierendenwerk Dortmund
Mensa Emilienstraße ,Emilienstraße 45,32756,Detmold,"3,2",223,Studierendenwerk Bielefeld
Mensa Neustadt ,Neustadt 22,32756,Detmold,"3,5",103,Studierendenwerk Bielefeld
venusberg bistro ,Sigmund-Freud-Straße 25,53127,Bonn,"3,4",2.025,Studierendenwerk Bonn
Mensa TH Georg Agricola ,Herner Straße 45,44787,Bochum,"3,1",118,AKAFÖ Akademisches Förderungswerk
Rote Bete ,Universitätsstraße 150,44801,Bochum,"3,1",100,AKAFÖ Akademisches Förderungswerk
Cafeteria sowls ,Universitätsstraße 25,33615,Bielefeld,"3,6",1.181,Studierendenwerk Bielefeld
Mensa Vita ,Helmertweg 1,52074,Aachen,"3,5",10.382,Studierendenwerk Aachen
Mensa Ahornstraße ,Ahornstraße 55,52074,Aachen,"3,4",2.905,Studierendenwerk Aachen
Mensa Tarforst ,Universitätsring 15,54296,Trier,"3,3",2.730,Studierendenwerk Trier
Geo-Mensa Petrisberg ,Behringstraße 6a,54296,Trier,"3,5",666,Studierendenwerk Trier
ForU ,Universitätsring 15,54296,Trier,"3,2",39,Studierendenwerk Trier
Bistro A/B - Abendmensa ,Universitätsring 15,54296,Trier,,,Studierendenwerk Trier
Zentralmensa ,Staudingerweg 15,55128,Mainz,"3,6",2.411,Studierendenwerk Mainz
Mini Mensa Sport ,Albert-Schweitzer-Straße 22,55128,Mainz,,,Studierendenwerk Mainz
Mini Mensa Campusgarten ,Staudingerweg 18,55128,Mainz,,,Studierendenwerk Mainz
Mini Mensa Biochemie ,Hanns-Dieter-Hüsch-Weg 15,55128,Mainz,,,Studierendenwerk Mainz
Mensaria ,Staudingerweg 15,55128,Mainz,"3,4",503,Studierendenwerk Mainz
Mensablitz ,Staudingerweg 15,55128,Mainz,,,Studierendenwerk Mainz
Mensa Bambus ,Jakob-Welder-Weg 12,55128,Mainz,"3,5",691,Studierendenwerk Mainz
Foodtruck ,Staudingerweg 15,55128,Mainz,,,Studierendenwerk Mainz
Cafeteria im ReWi ,Jakob-Welder-Weg 9,55128,Mainz,"3,2",276,Studierendenwerk Mainz
Mensa K3 ,Lucy-Hillebrandt-Straße 4,55128,Mainz,"3,5",198,Studierendenwerk Mainz
Mensa Holzstraße ,Holzstraße 36,55116,Mainz,"3,7",106,Studierendenwerk Mainz
Bistro A/B ,Universitätsring 15,54296,Trier,"3,4",191,Studierendenwerk Trier
Mensa Schneidershof ,Schneidershof,54293,Trier,"3,6",6.599,Studierendenwerk Trier
Mensa Irminenfreihof ,Irminenfreihof 8,54290,Trier,"3,2",251,Studierendenwerk Trier
Mensa Academica ,Pontwall 3,52062,Aachen,"3,4",33.729,Studierendenwerk Aachen
Bistro Templergraben ,Templergraben 55,52062,Aachen,"3,4",4.193,Studierendenwerk Aachen
Mensa Südpark ,Weißhausstraße 2,52066,Aachen,"3,6",644,Studierendenwerk Aachen
Mensa KMAC ,Hohenstaufenallee 20-22,52064,Aachen,"3,7",6.062,Studierendenwerk Aachen
Mensa Eupener Straße ,Eupener Straße 70,52066,Aachen,"3,5",7.223,Studierendenwerk Aachen
Mensa Bayernallee ,Bayernallee 9,52066,Aachen,"3,7",2.704,Studierendenwerk Aachen
Mensa X ,Universitätsstraße 25,33615,Bielefeld,"3,6",21.452,Studierendenwerk Bielefeld
Cafeteria X ,Universitätsstraße 25,33615,Bielefeld,"3,7",208,Studierendenwerk Bielefeld
Cafeteria Lampingstraße ,Lampingstraße 3,33615,Bielefeld,"3,7",67,Studierendenwerk Bielefeld
Cafeteria HSBI ,Interaktion 1,33619,Bielefeld,"3,5",167,Studierendenwerk Bielefeld
Mensa Ruhr-Universität Bochum ,Universitätsstraße 150,44801,Bochum,"3,1",428,AKAFÖ Akademisches Förderungswerk
Mensa Hochschule für Gesundheit ,Universitätsstraße 105,44789,Bochum,"3,5",188,AKAFÖ Akademisches Förderungswerk
Mensa Hochschule Bochum ,Lennershofstraße 140,44801,Bochum,"3,5",1.816,AKAFÖ Akademisches Förderungswerk
Mensa EvH RWL ,Immanuel-Kant-Straße 18-20,44803,Bochum,"3,1",138,AKAFÖ Akademisches Förderungswerk
Mensa Campo ,Endenicher Allee 19,53115,Bonn,"3,6",10.492,Studierendenwerk Bonn
Mensa am Hofgarten ,Regina-Pacis-Weg,53113,Bonn,"3,4",8.362,Studierendenwerk Bonn
Mensa Campus Nord ,Vogelpothsweg 85,44227,Dortmund,"3,5",3.480,Studierendenwerk Dortmund
food fakultät ,Vogelpothsweg 74,44227,Dortmund,"3,5",68,Studierendenwerk Dortmund
Archeteria ,August-Schmidt-Straße 2,44227,Dortmund,"3,2",72,Studierendenwerk Dortmund
Mensa Sonnenstraße ,Sonnenstraße 96,44139,Dortmund,"3,3",412,Studierendenwerk Dortmund
Mensa am Max-Ophuels-Platz ,Max-Ophuels-Platz 2,44139,Dortmund,"4,2",43,Studierendenwerk Dortmund
kostBar ,Emil-Figge-Straße 40a,44227,Dortmund,"3,6",129,Studierendenwerk Dortmund
Hauptmensa Duisburg ,Lotharstraße 23-25,47057,Duisburg,"4,1",515,Studierendenwerk Essen-Duisburg
Bistro insgrüne ,Bismarckstraße 81,47057,Duisburg,"3,2",120,Studierendenwerk Essen-Duisburg
Essensausgabe Süd ,Universitätsstraße 1,40225,Düsseldorf,"3,5",720,Studierendenwerk Düsseldorf
Campus Vita ,Universitätsstraße 1,40225,Düsseldorf,"3,7",289,Studierendenwerk Düsseldorf
Mensa Musikhochschule ,Fischerstraße 110,40476,Düsseldorf,"3,5",133,Studierendenwerk Düsseldorf
Mensa Kunstakademie ,Eiskellerstraße 1,40213,Düsseldorf,"3,5",165,Studierendenwerk Düsseldorf
Mensa Campus Derendorf ,Münsterstraße 156,40476,Düsseldorf,"3,5",1.508,Studierendenwerk Düsseldorf
Mensa Folkwang ,Klemensborn 39,45239,Essen,"3,3",475,Studierendenwerk Essen-Duisburg
Bistro Campus Zollverein ,Martin-Kremmer-Straße 21,45327,Essen,"3,4",142,Studierendenwerk Essen-Duisburg
Mensa Ludwigshafen ,Ernst-Boehe-Straße 4,67059,Ludwigshafen,"3,2",1.472,Studierendenwerk Vorderpfalz
Mensa Germersheim ,An der Hochschule 2,76726,Germersheim,"3,2",743,Studierendenwerk Vorderpfalz
Mensa Homburg ,Kirrberger Straße 100,66424,Homburg,"3,7",1.356,Studentenwerk im Saarland
Mensa TellerRandt ,Piennerstraße 15,01737,Tharandt,"3,5",1.213,Studentenwerk Dresden
Mensa Mittweida ,Weststraße 11,09648,Mittweida,"3,4",188,Studentenwerk Freiberg
Mensa im Osten ,Furtstraße 1a,02826,Görlitz,"3,2",1.282,Studentenwerk Dresden
Mensa Freiberg ,Agricolastraße 10a,09599,Freiberg,"3,6",3.730,Studentenwerk Freiberg
Mensa Stendal ,Osterburger Straße 25,39576,Stendal,"3,2",735,Studentenwerk Magdeburg
Mensa Merseburg ,Eberhard-Leibnitz-Straße 2,06217,Merseburg,"3,7",2.776,Studentenwerk Halle
Mensa Campus ,Fortstraße 7,76829,Landau,"3,8",3.237,Studierendenwerk Vorderpfalz
Mensa Uni-Campus ,Universitätsstraße 1,56072,Koblenz,"3,7",2.500,Studierendenwerk Koblenz
Mensa TU Kaiserslautern ,Paul-Ehrlich-Straße 30,67663,Kaiserslautern,"3,7",1.791,Studierendenwerk Kaiserslautern
Cafeteria Atrium ,Paul-Ehrlich-Straße 30,67663,Kaiserslautern,"3,2",105,Studierendenwerk Kaiserslautern
Mensa Büdesheim ,Berlinstraße 109,55411,Bingen,"3,5",390,Studierendenwerk Mainz
Cafe Rochusberg ,Rochusallee 4,55411,Bingen,"3,7",26,Studierendenwerk Mainz
Mensa Mahlwerk ,Schwenninger Weg 1,02763,Zittau,,,Studentenwerk Dresden
Mensa Kraatschn ,Hochwaldstraße 12,02763,Zittau,"3,6",3.024,Studentenwerk Dresden
Mensa HS Kaiserslautern ,Morlauterer Straße 31,67657,Kaiserslautern,"3,4",1.429,Studierendenwerk Kaiserslautern
Mensaria am Botanischen Garten ,Philipp-Rosenthal-Straße 33,04103,Leipzig,"3,1",907,Studentenwerk Leipzig
Mensa Peterssteinweg ,Straße des 17. Juni 2a,04107,Leipzig,"3,4",1.816,Studentenwerk Leipzig
Mensa An den Tierkliniken ,An den Tierkliniken 5,04103,Leipzig,"3,4",458,Studentenwerk Leipzig
Zeltschlösschen ,Nürnberger Straße 55,01187,Dresden,"3,5",10.088,Studentenwerk Dresden
Mensa Straße der Nationen ,Straße der Nationen 62,09111,Chemnitz,"3,5",279,Studentenwerk Chemnitz-Zwickau
Mensa Reichenhainer Straße ,Reichenhainer Straße 55,09126,Chemnitz,"3,4",2.453,Studentenwerk Chemnitz-Zwickau
Cafeteria Straße der Nationen ,Straße der Nationen 62,09111,Chemnitz,"3,5",25,Studentenwerk Chemnitz-Zwickau
Mensa UniCampus unten ,Pfälzer Straße 1,39106,Magdeburg,"3,7",510,Studentenwerk Magdeburg
Mensa UniCampus oben ,Pfälzer Straße 1,39106,Magdeburg,"3,5",163,Studentenwerk Magdeburg
Kellercafé im Gebäude 40 ,Zschokkestraße 32,39104,Magdeburg,"2,8",50,Studentenwerk Magdeburg
Mensa Herrenkrug ,Breitscheidstraße 2,39114,Magdeburg,"3,4",1.317,Studentenwerk Magdeburg
Cafeteria Reichenhainer Straße ,Reichenhainer Straße 55,09126,Chemnitz,"3,0",32,Studentenwerk Chemnitz-Zwickau
Mensologie ,Blasewitzer Straße 84,01307,Dresden,"3,8",3.623,Studentenwerk Dresden
Mensa WUeins ,Wundtstraße 1,01217,Dresden,"3,7",1.177,Studentenwerk Dresden
Mensa Siedepunkt ,Zellescher Weg 17,01069,Dresden,"3,4",5.141,Studentenwerk Dresden
BioMensa U-Boot ,Hettnerstraße 3,01069,Dresden,"3,8",757,Studentenwerk Dresden
Alte Mensa ,Mommsenstraße 13,01069,Dresden,"3,5",15.739,Studentenwerk Dresden
Mensa Palucca Hochschule ,Basteiplatz 4,01277,Dresden,"2,3",30,Studentenwerk Dresden
Mensa Matrix ,Reichenbachstraße 1,01069,Dresden,"3,6",2.389,Studentenwerk Dresden
Mensa Stimm-Gabel ,Wettiner Platz 13,01067,Dresden,"3,3",117,Studentenwerk Dresden
Mensa Brühl ,Brühlsche Terrasse 1,01067,Dresden,"3,2",73,Studentenwerk Dresden
Mensa Johannstadt ,Marschnerstraße 38,01307,Dresden,"3,7",2.155,Studentenwerk Dresden
Mensa am Park ,Universitätsstraße 5,04109,Leipzig,"3,5",10.526,Studentenwerk Leipzig
Mensa am Medizincampus ,Liebigstraße 25,04103,Leipzig,"3,5",2.853,Studentenwerk Leipzig
