name,location,plz,city,rating_average,rating_count,operator
Mensa Hohenheim ,Garbenstraße 29,70599,Stuttgart-Hohenheim,"3,1",236,Studierendenwerk Tübingen-Hohenheim
Delivery Point Hauberweg ,Hauberweg 48,73525,Schwäbisch Gmünd,,,Studierendenwerk Ulm
Mensa der Hochschule für Gestaltung ,Rektor-Klaus-Straße 100,73525,Schwäbisch Gmünd,,,Studierendenwerk Ulm
Mensa Musikhochschule ,Urbanstraße 25,70182,Stuttgart,"3,3",105,Studierendenwerk Stuttgart
Mensa Kunstakademie ,Am Weißenhof 1,70191,Stuttgart,"3,3",93,Studierendenwerk Stuttgart
Mensa Tiefenbronner Straße ,Tiefenbronner Straße 65,75175,Pforzheim,"3,3",671,Studierendenwerk Karlsruhe
Mensa Holzgartenstraße ,Holzgartenstraße 35,75175,Pforzheim,"2,6",80,Studierendenwerk Karlsruhe
Mensa Morgenstelle ,Auf der Morgenstelle 26,72076,Tübingen,"3,0",5.587,Studierendenwerk Tübingen-Hohenheim
Mensaria am Schloss ,Bismarckstraße 10,68161,Mannheim,"3,7",875,Studierendenwerk Mannheim
EO Cafeteria ,Bismarckstraße 10,68161,Mannheim,,,Studierendenwerk Mannheim
Cafeteria KUBUS ,Bismarckstraße 10,68161,Mannheim,,,Studierendenwerk Mannheim
Mensa Hochschule Mannheim ,Paul-Wittsack-Straße 10,68163,Mannheim,"3,6",1.304,Studierendenwerk Mannheim
Mensa Gießberg ,Universitätsstraße 10,78464,Konstanz,"3,5",14.714,Seezeit Studierendenwerk Bodensee
Mensa HTWG ,Alfred-Wachtel-Straße 12,78462,Konstanz,"3,3",5.292,Seezeit Studierendenwerk Bodensee
Cafeteria Musikhochschule ,N7 17,68161,Mannheim,"3,4",57,Studierendenwerk Mannheim
Mensaria Wohlgelegen ,Käfertaler Straße 258,68167,Mannheim,"2,8",49,Studierendenwerk Mannheim
Mensaria Metropol ,Hans-Thoma-Straße 40,68163,Mannheim,"3,2",344,Studierendenwerk Mannheim
Cafeteria Horizonte ,Coblitzallee 1-9,68163,Mannheim,,,Studierendenwerk Mannheim
Mensa Kehl ,Kinzigallee 1,77694,Kehl,"3,8",2.766,Studierendenwerk Freiburg
Mensa am Campus Horb ,Florianstraße 15,72160,Horb,,,Studierendenwerk Stuttgart
Mensa Heidenheim ,Marienstraße 20,89518,Heidenheim,,,Studierendenwerk Ulm
Mensa Göppingen ,Robert-Bosch-Straße 1,73037,Göppingen,,,Studierendenwerk Stuttgart
Mensa Gengenbach ,Brückenhäuserstraße 26a,77723,Gengenbach,"3,8",42,Studierendenwerk Freiburg
Mensa Furtwangen ,Gerwigstraße 15,78120,Furtwangen,"3,5",290,Studierendenwerk Freiburg
Mensa Friedrichshafen ,Fallenbrunnen 2,88045,Friedrichshafen,"2,8",148,Seezeit Studierendenwerk Bodensee
Mensa Stadtmitte ,Kanalstraße 27,73728,Esslingen,"3,2",1.371,Studierendenwerk Stuttgart
Mensa HS Biberach ,Karlstraße 6,88400,Biberach an der Riß,,,Studierendenwerk Ulm
Mensa Albstadt ,Jakobstraße 6,72458,Albstadt-Ebingen,"3,3",371,Studierendenwerk Tübingen-Hohenheim
